company,job_name,salary,city,work_years,education,desc
company,job_name,salary,city,work_years,education,desc
码博科技,Python,8K-16K,苏州,1-3年,本科,"['# 技能要求', '- Python及常用库', '- Javascript、PLV8', '- Database：PostgreSQL、Oracle、SQL Server', '- OpenResty、Lua', '- Redis', '# 业务领域', '- 达索Apriso实施', '- 码博MES开发及实施', '- 码博设备监控系统开发及实施', 'Python作为主要开发语言']"
晟盾,Python爬虫工程师,4K-6K,太原,经验不限,本科,"['岗位描述：', '1、\t负责设计和开发分布式网络爬虫系统，进行多平台信息的抓取和分析工作；', '2、\t负责网页信息和APP数据抽取、清洗、消重等工作，提升平台的抓取效率', '3、\t各类互联网数据接口的采集抓取', '4、\t研发核心算法，设计策略优化，提升爬虫抓取效果', '岗位要求：', '1、\t本科以上，计算机相关专业，可接受应届生', '2、\t理解http，熟悉html, DOM, xpath, scrapy，scrapy-redis优先', '3、\t深入理解网络爬虫原理，有丰富的数据爬取、解析、清洗、存储相关项目经验；熟悉常见的反爬虫技术及其突破方案', '4、\t熟悉APP模拟及接口验签破解技术，了解APP用户授权访问机制，掌握Selenium，APP，验证码破解技术优先', '5、\t熟悉linux开发环境，熟练使用MySQL数据库和Redis数据库，了解优化方法', '6、\t熟悉多线程/多进程等，熟悉 httpclient, selenium 等网页获取技术', '7、\t学习能力强，较好的沟通能力']"
信盈达,Python工程师,6K-12K,郑州,1-3年,本科,"['1、本科以上学历，计算机，信息类专业。', '2、一年以上相关工作经验。', '3、熟悉前端开发，爬虫，后台数据库，数据挖掘，机器学习算法等', '4、有语音识别、处理，图像处理经验优先。']"
文思海辉,python自动化测试,7K-12K,西安,1-3年,本科,"['要求： 1、本科以上学历，工作经验1年以上；', '2、熟悉Python、能编写脚本，熟悉自动化测试框架robotframework。', '3、具备良好的团队协作能力，并具有较强的学习能力。']"
Tokenmania,Python开发工程师/高频量化策略开发,25K-40K,北京,经验不限,本科,"['职责描述：', '1.参与公司数字货币量化交易策略与业务实现，回测与分析。', '2.负责高频数据量化策略研究与开发。', '高频交易', '任职要求：', '1.精通Python语言开发，精通Python下的多线程/多进程开发，网络通信。', '2.熟悉算法与数据结构，有OI经验为佳', '3.熟练使用Python下的Numpy，Scipy等科学计算库，掌握PyPy/CPython，', '加分项：', '1.数学功底扎实，掌握Matlab/R等数据分析工具，具有基本的金融二级市场交易知识。', '2.有高频量化交易策略开发经验，有数字货币程序化交易经验者优先。', '3.精通c/c++, c#, golang等']"
北京天润融通,python开发实习生,4K-8K,北京,应届生,本科,"['职位诱惑：', '定期培训/定期团建/提供工作餐/牛人mentor/租房补助/可转正', '职位描述：', '岗位职责', '1.参与公司数据平台建设，负责后端代码编写；', '2.与产品、技术对接，并调试后端接口；', '3.表现优秀会有机会参加平台建设方面的工作。', '任职资格', '1.至少掌握一门编程语言，有编程经验。会python、django者优先；', '2.熟练使用sql语言，了解索引；', '3.有较强的责任心和上进心；', '团队融洽，老板民族，']"
成都魔力百聚,Python开发工程师,5K-8K,成都,1-3年,本科,"['1、扎实的Python编程基础，热爱编程，代码风格良好;', '2、熟悉常见python web框架(Flask/Django等)，熟悉RESTful API的开发思想;', '3、熟悉Linux操作系统，了解docker，能够进行日常服务的测试部署;', '4、熟悉关系／非关系型数据库的使用，了解基本的设计、优化原则;', '5、良好的自学能力、独立解决问题的能力及沟通与团队协作能力;', '6、对开源软件、敏捷开发方法有特别兴趣，开源社区贡献者优先考虑;', '7、热爱编程,需要有良好的自学能力；', '8、能熟练使用Linux/Mac环境编程;']"
company,job_name,salary,city,work_years,education,desc
